Country,Happiness Score,Year
Finland,7.821,2022
Denmark,7.636,2022
Iceland,7.557,2022
Switzerland,7.512,2022
Netherlands,7.415,2022
Luxembourg*,7.404,2022
Sweden,7.384,2022
Norway,7.365,2022
Israel,7.364,2022
New Zealand,7.2,2022
Austria,7.163,2022
Australia,7.162,2022
Ireland,7.041,2022
Germany,7.034,2022
Canada,7.025,2022
United States,6.977,2022
United Kingdom,6.943,2022
Czechia,6.92,2022
Belgium,6.805,2022
France,6.687,2022
Bahrain,6.647,2022
Slovenia,6.63,2022
Costa Rica,6.582,2022
United Arab Emirates,6.576,2022
Saudi Arabia,6.523,2022
Taiwan Province of China,6.512,2022
Singapore,6.48,2022
Romania,6.477,2022
Spain,6.476,2022
Uruguay,6.474,2022
Italy,6.467,2022
Kosovo,6.455,2022
Malta,6.447,2022
Lithuania,6.446,2022
Slovakia,6.391,2022
Estonia,6.341,2022
Panama,6.309,2022
Brazil,6.293,2022
Guatemala*,6.262,2022
Kazakhstan,6.234,2022
Cyprus,6.221,2022
Latvia,6.18,2022
Serbia,6.178,2022
Chile,6.172,2022
Nicaragua,6.165,2022
Mexico,6.128,2022
Croatia,6.125,2022
Poland,6.123,2022
El Salvador,6.12,2022
Kuwait*,6.106,2022
Hungary,6.086,2022
Mauritius,6.071,2022
Uzbekistan,6.063,2022
Japan,6.039,2022
Honduras,6.022,2022
Portugal,6.016,2022
Argentina,5.967,2022
Greece,5.948,2022
South Korea,5.935,2022
Philippines,5.904,2022
Thailand,5.891,2022
Moldova,5.857,2022
Jamaica,5.85,2022
Kyrgyzstan,5.828,2022
Belarus*,5.821,2022
Colombia,5.781,2022
Bosnia and Herzegovina,5.768,2022
Mongolia,5.761,2022
Dominican Republic,5.737,2022
Malaysia,5.711,2022
Bolivia,5.6,2022
China,5.585,2022
Paraguay,5.578,2022
Peru,5.559,2022
Montenegro,5.547,2022
Ecuador,5.533,2022
Vietnam,5.485,2022
Turkmenistan*,5.474,2022
North Cyprus*,5.467,2022
Russia,5.459,2022
Hong Kong S.A.R. of China,5.425,2022
Armenia,5.399,2022
Tajikistan,5.377,2022
Nepal,5.377,2022
