Country,Year,suicides_no,suicides_per_100k
Antigua and Barbuda,2015,1.0,1.0882695426003113
Antigua and Barbuda,2017,0.0,0.0
Antigua and Barbuda,2018,0.0,0.0
Antigua and Barbuda,2019,0.0,0.0
Antigua and Barbuda,2020,0.0,0.0
Argentina,2015,3073.0,7.740627467907504
Argentina,2017,3185.0,0.6026059838619052
Argentina,2018,3273.0,0.6129970844487708
Argentina,2019,3254.0,0.6034144162090508
Argentina,2020,0.0,0.0
Armenia,2015,74.0,2.647267679902409
Armenia,2016,67.0,2.7916282817777924
Armenia,2017,44.0,0.12856822104477109
Armenia,2018,59.0,0.17333220050457887
Armenia,2019,49.0,0.14476814996704016
Armenia,2020,0.0,0.0
Australia,2015,3027.0,13.610131117224505
Australia,2017,3291.0,1.1151002175228129
Australia,2018,3192.0,1.0654215706933448
Australia,2019,3318.0,1.091150876884756
Australia,2020,3139.0,1.0196078217373943
Austria,2015,1251.0,15.220114981824675
Austria,2016,1201.0,16.046219525376607
Austria,2017,1224.0,1.1594115917970949
Austria,2018,1209.0,1.139638715863013
Austria,2019,1113.0,1.0444913918143408
Austria,2020,1072.0,1.0018469871620037
Belarus,2017,0.0,0.0
Belarus,2018,1807.0,1.5953677653779945
Belarus,2019,0.0,0.0
Belarus,2020,0.0,0.0
Belgium,2015,1867.0,17.57282982610899
Belgium,2017,1725.0,1.263718710544504
Belgium,2018,1793.0,1.3075694458665084
Belgium,2019,0.0,0.0
Belgium,2020,0.0,0.0
Belize,2015,26.0,8.129191614426189
Brazil,2015,11163.0,5.8418390756235565
Brazil,2017,9685.0,0.3870811194771258
Brazil,2018,9789.0,0.38814446779438666
Brazil,2019,9892.0,0.38923511717190534
Brazil,2020,0.0,0.0
Brunei Darussalam,2017,11.0,0.21304155162422878
Brunei Darussalam,2018,13.0,0.2494584832003144
Brunei Darussalam,2019,8.0,0.15219032313049408
Brunei Darussalam,2020,0.0,0.0
Bulgaria,2017,698.0,0.8220336679552103
Bulgaria,2018,642.0,0.7615618252259739
Bulgaria,2019,573.0,0.6845131305387326
Bulgaria,2020,0.0,0.0
Canada,2017,4537.0,1.0345625715300713
Canada,2018,4279.0,0.9620464729914906
Canada,2019,4449.0,0.9860049790924393
Canada,2020,0.0,0.0
Chile,2015,1838.0,11.095198067093351
Chile,2017,1880.0,0.8529058438585997
Chile,2018,1824.0,0.8127712022329819
Chile,2019,0.0,0.0
Chile,2020,0.0,0.0
"China, Hong Kong SAR",2017,840.0,0.00501355450270911
"China, Hong Kong SAR",2018,0.0,0.0
"China, Hong Kong SAR",2019,0.0,0.0
"China, Hong Kong SAR",2020,0.0,0.0
Colombia,2015,2332.0,5.241577025098006
Colombia,2017,2711.0,0.46723652356640716
Colombia,2018,2871.0,0.4855210125478314
Colombia,2019,2930.0,0.4865098360865008
Colombia,2020,0.0,0.0
Costa Rica,2017,281.0,0.46891084392871596
Costa Rica,2018,391.0,0.646400570498926
Costa Rica,2019,383.0,0.6277208338282986
Costa Rica,2020,351.0,0.5709428169049824
Croatia,2015,739.0,18.467294521360962
Croatia,2016,683.0,19.147512379301286
Croatia,2017,634.0,1.2809537213645221
Croatia,2018,0.0,0.0
Croatia,2019,582.0,1.1930376780977716
Croatia,2020,0.0,0.0
Cuba,2015,1511.0,13.949321588453838
Cuba,2017,1568.0,1.1526287801703154
Cuba,2018,1498.0,1.1019654355373465
Cuba,2019,1465.0,1.0787894500783517
Cuba,2020,0.0,0.0
Cyprus,2015,40.0,5.024892059037456
Cyprus,2016,36.0,5.060842574056996
Cyprus,2017,34.0,0.23444595868951879
Cyprus,2018,41.0,0.28032324962744354
Cyprus,2019,0.0,0.0
Cyprus,2020,0.0,0.0
Czech Republic,2015,1387.0,13.884822047535744
Czech Republic,2016,1318.0,14.759334383134853
Czechia,2017,1397.0,1.0988470239447026
Czechia,2018,1352.0,1.0599005625124336
Czechia,2019,1191.0,0.930015077020241
Czechia,2020,1224.0,0.9534618986342873
Denmark,2015,564.0,10.477312160741288
Denmark,2017,583.0,0.8427320360752913
Denmark,2018,584.0,0.8400021448821892
Denmark,2019,0.0,0.0
Denmark,2020,0.0,0.0
Dominican Republic,2017,649.0,0.5079561746996061
Dominican Republic,2018,711.0,0.5503676502348096
Dominican Republic,2019,0.0,0.0
Dominican Republic,2020,0.0,0.0
Ecuador,2015,1073.0,7.382676676466201
Ecuador,2017,1184.0,0.5909264992843402
Ecuador,2018,1221.0,0.5979781462642204
Ecuador,2019,1194.0,0.5736940244722303
Ecuador,2020,1071.0,0.507431093842345
Egypt,2017,67.0,0.0054851822500759885
Egypt,2018,86.0,0.006908245439164311
Egypt,2019,72.0,0.0056808137644526885
Egypt,2020,0.0,0.0
El Salvador,2017,267.0,0.3550539091515185
El Salvador,2018,232.0,0.30803505183964375
El Salvador,2019,0.0,0.0
El Salvador,2020,0.0,0.0
Estonia,2015,195.0,15.682174594877155
Estonia,2017,226.0,1.4296008857958906
Estonia,2018,196.0,1.235523260490412
Estonia,2019,193.0,1.212100201623134
Estonia,2020,210.0,1.3162625364604723
Finland,2015,731.0,14.107075209623225
Finland,2017,824.0,1.2466230735891282
Finland,2018,810.0,1.2238182222000624
Finland,2019,746.0,1.125880163609404
Finland,2020,0.0,0.0
Georgia,2015,192.0,5.551700208188758
Georgia,2017,150.0,0.33530006942052637
Georgia,2018,250.0,0.5590516408970695
Georgia,2019,261.0,0.5846521158627275
Georgia,2020,202.0,0.4521788214124669
Germany,2015,10088.0,12.910709301545344
